"x";"y";"pop"
"317";346479.92045;6790709.02;2
"318";346480.43045;6790001.74;2
"319";346480.56045;6790368.91;4
"320";346480.85045;6790157.53;2
"321";346480.96045;6790307.2;2
"322";346481.10045;6790722.41;2
"323";346482.19045;6790828.64;4
"324";346482.21045;6790272.95;1
"325";346483.27045;6790289.13;2
"326";346483.63045;6790092.96;2
"327";346484.12045;6790322.15;3
"328";346485.28045;6790669.3;1
"329";346485.55045;6790635.41;2
"330";346485.86045;6790393.34;2
"331";346485.97045;6790337.57;1
"332";346487.04045;6790352.98;2
"333";346487.62045;6790073.91;1
"334";346488.06045;6790893.01;1
"335";346488.63045;6790694.66;2
"336";346488.69045;6790768.9;2
"337";346488.98045;6789965.66;2
"338";346489.83045;6789985.91;1
"339";346489.93045;6790703.55;1
"340";346490.25045;6793965.88;5
"341";346490.42045;6790366.77;1
"342";346490.52045;6790405.23;3
"343";346492.13045;6790150.59;2
"344";346493.34045;6790785.74;4
"345";346493.35045;6790084.56;1
"346";346493.47045;6790623.71;1
"347";346494.40045;6790850.35;2
"348";346497.93045;6790731.6;2
"349";346498.15045;6790164.07;5
"350";346498.23045;6790063.08;2
"351";346499.71045;6790888.36;3
"352";346500.87045;6789972.24;2
"353";346501.49045;6790077.66;3
"354";346501.87045;6790140.69;2
"355";346503.71045;6790389.97;4
"356";346505.30045;6790766.01;2
"357";346507.53045;6789650.72;2
"358";346508.97045;6790180.53;3
"359";346509.65045;6790155.94;3
"360";346509.84045;6790786.71;2
"361";346510.21045;6790070.67;1
"362";346512.53045;6790594.23;2
"363";346513.49046;6786112.46;2
"364";346513.84045;6790196.37;2
"365";346514.79045;6790135.39;1
"366";346515.45045;6790857.74;1
"367";346517.01045;6790566.23;2
"368";346517.68045;6790811.99;2
"369";346518.10045;6790895.43;4
"370";346520.27045;6790175.62;1
"371";346520.36045;6790310.89;2
"372";346520.67045;6790210.35;2
"373";346521.50045;6790062.09;1
"374";346521.52045;6789711.41;5
"375";346521.82045;6791481.77;9
"376";346521.98045;6790780.23;2
"377";346523.96045;6790760.63;2
"378";346525.18045;6790799.06;4
"379";346527.20045;6790319.43;4
"380";346527.89045;6790225.67;1
"381";346529.28045;6790197.71;2
"382";346529.93045;6790258.28;2
"383";346530.08045;6790034.86;2
"384";346530.46045;6789620.76;4
"385";346531.83045;6790842.36;2
"386";346533.12045;6790238.27;1
"387";346534.18045;6790607.65;1
"388";346535.16045;6790344.81;3
"389";346535.54045;6790622.8;2
"390";346536.07045;6790895.73;2
"391";346537.54045;6790019.81;2
"392";346537.87045;6790357.09;3
"393";346537.98045;6790048.07;2
"394";346538.11045;6790725.62;5
"395";346538.44045;6790639.36;4
"396";346538.78045;6790217.9;1
"397";346538.98045;6790379.78;1
"398";346539.72045;6790391.46;1
"399";346540.20045;6790586.24;3
"400";346541.09045;6790656.39;3
"401";346544.09045;6789757.99;3
"402";346544.69045;6790675.59;2
"403";346545.12045;6790475.96;1
"404";346545.85045;6790344.33;2
"405";346545.86045;6790691.48;2
"406";346545.87045;6789771.8;2
"407";346545.89045;6790511.97;1
"408";346547.35045;6790846.21;2
"409";346547.46045;6789999.4;2
"410";346547.57045;6790108.63;1
"411";346548.09045;6790026.37;4
"412";346548.57045;6790836.21;2
"413";346549.20045;6790491.54;3
"414";346549.66045;6790708.04;2
"415";346550.60045;6790364;1
"416";346551.14045;6790632.97;5
"417";346551.18045;6790389.98;4
"418";346552.89045;6790120.95;2
"419";346553.94045;6790034.25;3
"420";346554.86045;6790333.64;4
"421";346554.88045;6790649.86;5
"422";346555.77045;6791309.77;5
"423";346555.92045;6790446.88;3
"424";346557.06045;6790130.46;3
"425";346557.35045;6790751.8;2
"426";346557.64045;6790564.38;5
"427";346558.63045;6789959.84;4
"428";346559.74045;6790575.78;2
"429";346560.20046;6786017.59;4
"430";346561.39045;6790270.76;1
"431";346562.05045;6789582.73;4
"432";346562.21045;6790140.63;3
"433";346563.13045;6790772.4;2
"434";346563.83045;6790233.41;4
"435";346564.21045;6790284.01;2
"436";346566.05045;6790407.43;3
"437";346566.78045;6790150.33;1
"438";346567.89045;6790109.72;2
"439";346567.92045;6789714.06;2
"440";346569.21046;6788299.52;2
"441";346569.49045;6790633.46;1
"442";346571.35045;6790166.61;3
"443";346571.62045;6790721.5;1
"444";346571.86045;6790292.78;2
"445";346572.15045;6789805.77;2
"446";346574.23045;6790131.38;5
"447";346575.33045;6790895.12;2
"448";346577.05045;6790178.64;1
"449";346577.13045;6790675.95;2
"450";346577.39045;6790662.96;2
"451";346577.91045;6790828.9;4
"452";346578.15045;6790852.05;3
"453";346578.31045;6790081.85;2
"454";346579.32045;6790097.17;3
"455";346579.61045;6790147.23;2
"456";346580.40045;6789956.69;4
"457";346581.30045;6788566.36;2
"458";346582.52045;6790188.55;2
"459";346582.92045;6790900.61;2
"460";346582.97045;6789981.66;2
"461";346583.40045;6790689.6;2
"462";346585.04046;6786089.45;3
"463";346585.94045;6790541.76;1
"464";346586.88045;6790199.3;5
"465";346587.42045;6790265.45;2
"466";346587.86045;6790162.23;1
"467";346588.53046;6785999.65;2
"468";346588.65045;6790704.4;4
"469";346588.91045;6790734.03;1
"470";346589.66045;6790763.29;3
"471";346590.58045;6790796.6;1
"472";346590.66045;6789970.06;3
"473";346592.02045;6790176.19;2
"474";346592.23045;6790209.21;1
"475";346593.10046;6786054.11;1
"476";346593.93045;6790820.95;2
"477";346594.65045;6789948.2;2
"478";346595.34045;6790457.4;2
"479";346597.62045;6790779.29;1
"480";346598.16045;6789611;4
"481";346598.41045;6792970.61;2
"482";346600.23045;6790334.64;2
"483";346600.30045;6790349.07;2
"484";346601.13045;6790230.38;1
"485";346601.21045;6790365.48;2
"486";346601.64045;6790436.73;2
"487";346602.09045;6792993.27;4
"488";346602.17045;6790378.65;4
"489";346603.28045;6790422.97;2
"490";346603.65045;6790582.95;2
